A Little Night Music;61;No
Giant;61;Yes
A Fistful of Dollars;61;No
Wild Frontier, The;61;No
Flying Tigers;61;No
Falcon & the Snowman, The;61;No
Ten;60;No
Alfred Hitchcock Presents, Sorcerer's Apprentice;60;No
After the Fox;60;No
A Child Is Waiting;60;No
Clara's Heart;60;No
Children's Hour, The;60;No
Necessary Roughness;60;No
Funny about Love;60;No
Ladies of the Chorus;60;No
Doors, The;60;No
Cancel My Reservation;60;No
Secret Ceremony;60;No
Gary Numan - Berzerker;60;No
Alien: resurrection;60;No
A Nous la Liberte;60;No
Throne of Blood;60;No
Yojimbo;60;No
Beguiled, The;60;No
Only Way Home, The;60;No
Crimson Pirate, The;60;No
Sound of Music, The;59;Yes
Reap the Wild Wind;59;No
March or Die;59;No
Those Daring Young Men in Their Jaunty;59;No
After School;59;No
World According to Garp, The;59;No
Sleeper;59;No
Witness;59;No
Cabaret;59;Yes
Seizure;59;No
Born to Ride;59;No
Police Academy 5: Assignment Miami Beach;59;No
Gung Ho;59;No
Rocky Horror Picture Show, The;59;No
Alien Three;59;No
Conversation, The;59;Yes
Rashomon;59;Yes
J-Men Forever;59;No
From the Life of the Marionettes;58;No
Memoirs of an Invisible Man;58;No
Pope of Greenwich Village;58;No
Smiles of a Summer Night;58;No
Prisoner of Honor.;58;No
Desperate Hours;58;No
Diamond Trap, The;58;No
Teen Wolf;58;No
Cowboys, The;58;No
John Wayne Four Pack;58;No
Rich & Strange;57;No
Voyage in Italy;57;No
High Plains Drifter;57;No
Coogan's Bluff;57;No
Brink of Life;57;No
Until the End of the World;57;No
Painted Veil, The;57;No
Lady in Question;57;No
Gilda;57;No
Bronco Billy;57;No
Made in Heaven;57;No
Cobra;57;No
Heartburn;57;No
Dear America, Letters Home from Vietnam;57;No
Where Eagles Dare;57;No
Harry & Son;57;No
Lust for Gold;57;No
A Month in the Country;57;No
Long John Silver;56;No
Outsiders, The;56;No
Psycho;56;No
Courage;56;No
Accidental Tourist, The;56;Yes
Cannibal Women in the Avocado Jungle of Death;56;No
Separate but Equal;56;No
Somebody up There Likes Me;56;No
Best of Eddie Murphy, Saturday Night Live, The;56;No
Mummy's Revenge, The;56;No
Don Juan;55;No
Pocket Money;55;No
Scarlet Letter, The;55;No
Chinatown;55;Yes
Not Without My Daughter;55;No
Deceived;55;No
Dracula's Widow;55;No
Man of La Mancha;55;No
Secret Admirer;55;No
Cloak & Dagger;55;No
Tightrope;55;No
A Coeur Joie, (Head Over Heels);54;No
White Lightning;54;No
Island of Dr. Moreau, The;54;No
Flame of Barbary Coast;54;No
Looking for Mr. Goodbar;54;No
Two Nights with Cleo;54;No
Black Orchid, The;54;No
Madonna, Truth or Dare;54;No
America's Music, Blues;54;No
Whoopee Boys, The;54;No
Between Friends;54;No
Father of the Bride;54;No
Ash Wednesday;54;No
Black Widow;54;No
Paris Blues;54;No
Local Hero;54;No
Up the Creek;54;No
Green Glove;54;No
Les Comperes;54;No
